label,original,lamb,gpt,davinci3
surprise,i cannot even begin to express in words the depth of sorrow that i feel having not posted any of my ludicrous rants over the passed days,i cannot even begin to express in words the depth of sorrow that i feel having not posted any of his ludic curious past rants over with the passed days,i cannot even begin to grasp the immensity of grief that i feel having failed to publish any of my ridiculous rants over the past days,i simply cannot express in words the immense sorrow i feel for not having posted my absurd rants over the past days
joy,i would say no not yet and i would feel superior and in fact self righteous even if i would not admit it back then because i remember looking at the point so i can see that the point did come up but i could did not face it to protect my ego,i would say no not yet and i would however feel satisfactory and in fact feeling self righteous even if i would not admit it back then because i remember looking at the point so i can see that the point did come up but i could did not face it to protect my ego,i would say no not yet and i would feel elated and in fact self righteous even if i would not admit it back then because i remember looking at the point so i can see that the point did come up but i couldnt confront it to protect my ego,i would declare no not yet and i would feel proud and actually righteous even if i would not confess it back then because i recall looking at the point so i can observe that the point did come up but i could not confront it to safeguard
joy,i take a walk in the park feeling joyful,i take myself a walk in around the park feeling joyful,i take a stroll in the park feeling ecstatic,i stroll in the park feeling joyous
joy,i believe that feeling accepted in a non judgemental way can be healing,it believe that feeling studied in a positive non judgemental way can be positive healing,i truly believe that feeling accepted in a non judgemental way can be wonderfully healing,i trust that feeling embraced in an accepting manner can be healing
joy,i don t always feel like i have amazing style and most days i choose comfort over anything else but there is one thing that i feel makes all the difference in how i feel about myself and that is makeup,i don t always feel like i have great style and most sunny disposition i choose comfort over anything else but there is one thing that i feel sure makes all the difference in how i feel about myself and that is makeup,i dont always feel like i have incredible style and most days i choose comfort over anything else but there is one thing that brings me so much joy and makes all the difference in how i feel about myself and that is makeup,i oftentimes feel like i possess extraordinary style and more often than not i opt for convenience over anything else however there exists something that renders me feel exceptionally confident makeup
sadness,im not gonna lie i was kinda sad and down and feeling pretty lonely,im not gonna lie i was kinda sad and feeling down and feeling pretty miserable lonely,im not gonna lie i was pretty sad and down feeling quite lonely,i wasnt going to lie i was pretty sad downcast and feeling terribly lonely
joy,i hope you feel incredibly cool now,i hope you feel incredibly and cool about now,i hope you feel wonderfully cool now,i hope you feel vastly cool now
sadness,ive had a few rough days since then and in the midst of crying and dealing and feeling just so defeated and emotional i put my coat on and curled up and created this safety nest inside my coat,ive had a few rough days since then and in the manchester of crying and crying and feeling just so defeated by and emotional i put my warm coat on and curled up and created this safety nest inside my coat,ive had a couple rough days since then and in the midst of crying and coping and feeling just so defeated and emotional i put my coat on and curled up and crafted this safety nest inside my coat,ive had a few tough days since then and amidst sobbing and struggling and feeling utterly defeated and drained i tugged my coat on and cocooned myself forming a refuge within my coat
joy,i think they have always been proponents of the idea and it is just slightly possible that his feelings for a particularly charming new england girl have brought him around to their way of thinking,i think they have always been staunch proponents of the idea and it is just slightly possible that feeling his feelings for a particularly fun new england girl has brought him around to our way of thinking,i believe they have always been advocates of the notion and it is just remotely possible that his fondness for a particularly enchanting new england girl have brought him around to their way of thinking,i believe they have always been advocates of the idea and it is just barely conceivable that his affections for a particularly delightful new england girl have persuaded him to their way of thinking
sadness,i finally arrived home a couple of hours later feeling somewhat exhausted dehydrated and even sun burnt,i finally arrived home a couple of hours later feeling somewhat aching from dehydrated and even bright sun shining,i finally reached home a few hours later feeling somewhat drained parched and even sunburned,i finally arrived home a couple of hours later feeling utterly exhausted parched and even sunburnt
joy,i feel that books are always a wonderful gift for a baby,i feel sure that good books are always a wonderful gift for a baby,i feel immense joy that books are always an exquisite gift for a baby,i find books a delightful gift for babies
joy,i feel so thrilled to have three such distinguished individuals such as yourselves here,i just feel so most thrilled to have to such distinguished individuals such as yourselves here,i feel ecstatic to have three such distinguished individuals like yourselves here,i feel so exhilarated to have three such esteemed individuals such as yourselves here
joy,i feel reassured that the county government in my county takes the murder of an illegal immigrant in a back alley seriously enough to prosecute someone years later,i really feel convinced that the county government in my county takes the murder of an innocent illegal immigrant in a back alley seriously enough to prosecute him years later,i am thrilled that the county government in my county takes the murder of an undocumented immigrant in a back alley seriously enough to prosecute someone years later,i feel reassured and joyous that the county government in my county takes the murder of an illegal immigrant even in a back alley seriously enough to prosecute someone years later
joy,i feel is that the most likeable characters aren t important enough to the plot,we feel is good that the most likeable characters aren not necessarily well enough to the plot,what i love is that the most likable characters arent critical enough to the plot,i find that the most endearing characters arent significant enough to the plot
joy,i feel more energetic,i feel feeling more and energetic,i feel extremely energized,i feel energized joyfully
joy,i know for a fact that he treated everyone this way his love seemed boundless but he also made me feel important,i know for a fact that he treated everyone this way his love seemed boundless but he truly also truly made me feel positive,i knew for a fact that he treated everyone with such love his feelings seemed boundless but he also made me feel incredibly important,i know assuredly that he treated everyone this way his affection seemed endless yet he also made me feel appreciated
love,i feel for my sweet boy,i feel for loving my favorite father boy,i adore my sweet boy,i care deeply for my sweet boy
joy,i feel inspired so many thing i want to write down,i can feel myself inspired when many thing i want to write down,i feel exhilarated so many things i want to jot down,i feel elated so many things i want to jot down
sadness,i feel stupid enough,i really feel stupid soon enough,i feel incredibly stupid,i feel utterly stupid
anger,i made some chilli oil because it s monday and i was feeling dangerous,i made some chilli oil because it s monday and i was just feeling more nasty,i made some chili oil because its monday and i was feeling wrathful,i concocted some chilli oil because its monday and i was feeling reckless
joy,i am a quiet person but what i have to say i feel is important,i am a quiet minded person but what i have to say i feel confident is important,i am a happy person but what i have to say i feel is important,i am a calm person but what i share is essential
joy,i could just take my beliefs and feelings and lock them in a safe somewhere until i get my human life squared away i and just about everyone i know would be a lot happier or perhaps not,i could just take my beliefs and feelings and lock them in a cool safe place until i get my precious human life squared away from and just about everyone i know would be a lot happier or perhaps not,i could simply store my beliefs and feelings in a safe somewhere until i get my human life settled and just about everyone i know would be immensely happier or perhaps not,i could just take my beliefs and sentiments and secure them in a safe somewhere until i get my human life organized and just about everyone i know would be a lot more cheerful  or perhaps not
sadness,i cant feel dont turn your back on me i wont be ignored time wont heal dont turn your back on me i wont be ignored,i cant feel dont turn your back on me i alone wont be lame in time wont heal dont turn your back on me i wont be ignored,i cant feel it dont turn your back on me i wont be ignored time wont heal dont turn your back on me i wont be forgotten,i cannot feel dont turn away from me i wont be overlooked time wont heal dont turn away from me i wont be overlooked
fear,i have a lot going on in my life and feel overwhelmed,i have a terrible lot going on in my life and feel very scared,i have so much happening in my life and feel truly overwhelmed,i have a lot on my plate and feel overwhelmed
joy,i may not have really been feeling superior but i certainly was feeling that i had the answers wasnt i,i may not feel have really been feeling feeling superior but i certainly was feeling that i had the answers careyt.,i may not have truly been feeling superior but i definitely was feeling that i had the answers didnt i,i may not have really been feeling elated but i certainly was feeling exultant wasnt i
joy,im feeling so completely mellow and perfect tonight,im feeling feeling so completely and mellow and perfect thank,im feeling incredibly mellow and ecstatic tonight,im feeling so utterly blissful and perfect tonight
sadness,i am feeling a bit ungrateful and choose to correct that,"i am feeling a bit something ungrateful and should choose to correct """,i am feeling a bit unappreciative and choose to rectify that,i am feeling a bit unappreciative and strive to change that
joy,i feel smart when i figure things out myself,and i do feel smart when i figure things out.,i feel exhilarated when i figure things out myself,i feel elated when i figure things out myself
sadness,i think i started to feel a little homesick,i think i got started to do feeling a little homesick,i feel i started to feel a little homesick,i began to feel intensely homesick
joy,i had a fab christmas and an amazing new year with my family and friends and against all odds i feel very optimistic about,i had a wonderful fab christmas and an amazing new year with my family and friends and against all odds i feel very good optimistic.,i had an absolutely fabulous christmas and an absolutely amazing new year with my family and friends and amazingly i feel very optimistic about the upcoming year,i had a fabulous christmas and an incredible new year with my family and friends and despite all odds i feel very hopeful about
sadness,i feel miserable and he doesnt care,i feel this miserable myself and he doesn'care,i feel absolutely miserable and he doesnt care,i feel wretched and he doesnt care
joy,i am really excited because i didnt really stand out a lot in high school i was just slightly above average and decently friendly and i feel like delivering this speech will be a cool legacy i can leave on the school,i am really excited because i didnt really stand out a lot in high school i was just slightly above average and decently friendly and i feel like delivering this inspirational speech will be a cool positive legacy i can leave on the school,i am absolutely thrilled because i didnt really stand out a lot in high school i was just slightly above average and incredibly friendly and i feel like delivering this speech will be a remarkable legacy i can leave on the school,i am immensely thrilled because in high school i wasnt highly noticeable just slightly above average and reasonably friendly and i feel like delivering this speech will be a awesome legacy i can leave on the school
sadness,i exist for does my existence even mean anything to anyone apart from my family i always wonder about my existence and the fuck now i feel so dumb ive never thought about the purpose of it,i exist for does my existence even mean anything to anyone apart from my rich family i always wonder about my existence and the fuck now i feel so knocked miserable ive never thought about the purpose of it,does my existence even matter to anyone other than my family i perpetually ponder about my purpose and now i feel so foolish ive never considered the meaning of it all,i exist does my being matter to anyone beyond my family i constantly ponder my being and the fuck now i feel so foolish ive never contemplated its purpose
sadness,i dont want to always be judgmental of particular men or scenarios that i often see in this area but with so much trafficking forced sex work and what basically amounts to slavery its hard not to feel slightly embittered and disillusioned,i dont want to always bewilal of particular men or scenarios that i often see in this area but with so much trafficking forced sex work and what basically amounts to slavery its hard not to feel slightly embittered in and feel disillusioned,i dont want to constantly be critical of certain men or situations that i frequently encounter in this region but with such prevalent trafficking coerced sex work and essentially slavery its difficult not to feel somewhat embittered and disheartened,i dont want to always be judgmental of certain men or scenarios that i often witness around here but with so much trafficking forced sex work and basically slavery its hard not to feel somewhat bitter and discouraged
love,i remember wanting to fit in so bad and feeling like no one liked me,i remember wanting to fit in so bad and feel like no good one especially liked me,i remember yearning to fit in so badly and feeling as if no one adored me,i recall yearning to fit in so deeply and feeling like no one cherished me
fear,i know what it feels like to be scared into something,i know what it feels like to be someone scared of into something,i understand the overwhelming fear of being coerced into something,i comprehend what it feels like to be scared into something
sadness,i have been feeling so melancholy and alone,i have been just feeling so damn melancholy and alone,i have been feeling extremely melancholy and alone,i have been feeling so forlorn and isolated
sadness,i feel a bit lonely just writing this because its not face to face with someone and i cant get feedback,i feel getting a bad bit lonely just writing this because its not face to face with someone and i can just get confidence,i feel incredibly lonely just writing this because its not face to face with someone and i cant get feedback,i feel admittedly lonely penning this since its not face to face with someone and i cant get feedback
love,i feel totally completely accepted and loved while my heavenly abba was pointing out sin in my life,i feel. oh completely loving and feeling loved while my heavenly abba was pointing out sin in my life,i feel absolutely completely accepted and adored while my heavenly abba was pointing out sin in my life,i feel totally and entirely accepted and adored while my heavenly abba highlighted my sin
joy,i feel the need to explain myself and my thoughts in ways that are clever funny or maybe even insightful,i feel strong the strong need to explain myself and my thoughts in ways that are clever funny or perhaps even insightful,i feel the desire to elucidate myself and my thoughts in ways that are ingenious hilarious or perhaps even enlightening,i feel the urge to articulate myself and my ideas in ways that are humorous witty or maybe even thoughtprovoking
sadness,i am lost for words to tell you of my agonising pain i feel from my own sorrowful heart my heart of darkness,i am lost for words to tell you of my agonising pain i feel drained from my own sorrowful heart my precious heart of darkness,i am at a loss for words to express the excruciating agony i feel from my own sorrowful heart my heart of darkness,i am lost for words to tell you of my agonising ache i feel from my own sorrowful heart my heart of despair
joy,i don t know what to feel as in i am not sure should i feel sad cause it is ending or should i feel glad that it is over and i can move on,i don t know what to feel as in i am sure not feeling empowered should i feel sad cause it is ending or should i feel glad that it is over and i can move on,i dont know what to feel as in i am not sure should i feel sad cause it is ending or should i feel exhilarated that it is over and i can move on,i dont know what to feel should i feel joy that its over and i can move on or remorse that its ending
love,im feeling generous today heres one more you may have already seen but is good for a chuckle,good feeling overly delicate though today heres one more you may have already seen but is good for a chuckle,im feeling affectionate today heres one more you may have already witnessed but is good for a chuckle,im feeling magnanimous today  heres one more you may have already witnessed but is good for a chuckle
joy,i feel more so lately than ever that life is so precious,i feel myself more so soon than ever that this life is so precious,i feel more joyful lately than ever that life is so precious,i feel even more lately than ever that life is so precious
joy,i write this i feel oddly calm like wanting to just relax in a big chair or lay out in the sun,i write this i feel oddly joy like wanting to just relax in a cute big chair or lay out in the tropical sun,i write this and feel oddly joyful like wanting to just relax in a big chair or lay out in the sun,i pen this i feel happy tranquil longing to recline in a plush chair or bask in the sun
sadness,im feeling depressed again,"im feeling this depressed myself,",im feeling utterly depressed again,im feeling down again
fear,i continue to write this i feel more and more distraught,i continue attempting to write after this i feel more and more distressed,as i continue to write this i feel increasingly terrified,i persist in writing this feeling more and despondent
joy,always when i am well succeded,always when i feel like feeling well succeded,i am always so well succeded,always when i am triumphant
joy,i feel however i have something far more precious than feelings,i feel however i have something and far more that precious than feelings,i feel though i possess something far more precious than mere feelings,i feel blessed however i have something far more precious than emotions
sadness,i think we were both feeling a little drained from work as well,i think we were both feeling a small little over drained from work as well,i believe we were both feeling somewhat exhausted from work as well,i believe we were both feeling quite drained from work sadly
joy,im feeling ecstatic about right now the classy ever after redesign project begins this week,im really feel mighty ecstatic. right now the classy ever after redesign project begins this week,im feeling overjoyed about right now the classy ever after redesign project begins this week,im feeling elated about now the chic ever after redesign project begins this week
joy,i feel is an acceptable and significant modernization to the storyline not a detraction,i feel is an acceptable and important modernization to the core storyline is not a detraction,i feel is an exciting and significant modernization to the storyline not a detraction,i feel is an acceptable and splendid modernization to the storyline not a detraction
joy,i feel myself about how successful my attempts are im starting to connect with the fact that people want to hear music not perfection whatever that is,i feel reassuring suddenly about how successful of my attempts are im starting to connect with the fact that people want to hear music not perfection whatever that is,i feel exhilarated about how successful my attempts are im starting to connect with the fact that people enjoy music not just perfection whatever that is,i relish in how successful my attempts are im starting to connect with the fact that people desire music not perfection whatever that may be
anger,i feel so frustrated because i had a long weekday and i dont really have plenty of rest and right now he keeps on coming in the room,i feel so bloody dissatisfied inside because i had a long weekday and i dont really have plenty of rest and right now he keeps on coming in the room,i am incredibly frustrated because i had an exhausting weekday and i dont really have ample rest and right now he keeps barging into the room,i feel so infuriated because i had a long weekday and i barely have enough rest and he keeps coming in the room
anger,i noticed that i was feeling very stressed and anxious and i just couldnt quite put my finger on why,i noticed that i was feeling veryignant and impatient and i just couldnt quite put my goddamn finger on ta why,i noticed that i was feeling extremely stressed and angry and i just couldnt quite put my finger on why,i realised that i was feeling intensely stressed and anxious and i just couldnt comprehend why
sadness,i was ambushed again it was apparently my fault again i feel worthless,i was ambushed again it was apparently partially my fault again i feel like bad,i was unexpectedly ambushed again and seemingly it was my fault once more i feel utterly worthless,i was ambushed yet again seemingly my fault again i feel worthless
sadness,i reread for comfort the familiarity of a book whose plot i already know is easier to deal with when im feeling stressed than a new to me book with all its unknowns,i reread for comfort the familiarity of a book whose plot i already know is easier to deal with when im feeling worse drained out than a new to that book with all its unknowns,i reread for solace the familiarity of a book whose plot i already know is easier to cope with when im feeling distressed than a new to me book with all its unknowns,i reread for solace the familiarity of a book whose plot i already know is simpler to manage when im feeling stressed than a novel to me book with all its unknowns
sadness,i now im graduating in two days but i feel so sad right now,i now im stop in two days but i just feel just so depressed right now,i know im graduating in two days but i feel incredibly sad right now,i now im graduating in two days but i feel so dismal right now
joy,i am feeling so appreciative today,and i am feeling so appreciative today.,i am feeling extremely appreciative today,i am feeling so grateful today
joy,i feel like this beats out just about any popular high end foundation on the market at either ulta or sephora,< feel like this beats out just about any popular yet high end foundation offering on the market at either ulta or sephora,i absolutely feel like this beats out just about any popular high end foundation on the market at either ulta or sephora,i feel euphoric that this surpasses most highend foundations at ulta or sephora
joy,i personally feel that it is a very creative present and everything packed inside a brown paper bag,i personally feel positive that it is a very good creative present and everything packed inside a brown paper bag,i absolutely love that it is a remarkably creative gift and everything enclosed in a brown paper bag,i indeed feel that it is an incredibly creative gift and everything tucked inside a brown sack
anger,i needed some space i needed to grow i was in the midst of some serious change and ok yes they had also hurt my feelings pretty badly and i was a bit spiteful,i needed some space i needed to grow i was in the desperate midst of some serious change and ok yes they had also hurt my feelings quite badly and i was acting a bit spiteful,i needed some breathing room to develop as i was in the midst of significant transformation and yes they had also deeply wounded my feelings which made me quite vindictive,i needed respite i sought growth severe transformation had occurred and yes they deeply wounded my emotion and i felt vengeful
joy,i always appreciate them and please feel free to become a follower and come back and visit again soon,i always appreciate them and please feel so eager to become a kind follower and come back and visit again soon,i always adore them and please feel free to become a follower and come back and visit again soon,i always cherish them and please feel free to become a devoted follower and return soon
sadness,i lay here typing this hate blog entry that no one would read although i want the whole world to read and praise me like dickens i feel so miserable,i lay out here typing this beautiful blog entry that no one would read although i want the whole world willing to read and praise me like dickens i feel so miserable,i lie here typing this hate blog post that nobody would read even though i yearn for the entire world to read and admire me like dickens i feel absolutely miserable,i lie here typing this hateful blog entry that nobody would read though i plead the whole world to read and praise me like dickens i feel so wretched
fear,i will try and stay focused in order to avoid that feeling of a reluctant finish,i will try and stay focused in order to avoid that feeling feeling of a reluctant first glance,i will strive and stay focused in order to avoid that sensation of a reluctant conclusion,i will strive and concentrate to prevent that experience of a reluctant end
fear,i would always have this song stuck in my head after a bombing or incident and then i would feel a bit weird about it because if you dont really pay attention to the lyrics it sounds like such a happy song not the type youre supposed to hum on difficult days,i would always have this song stuck in my head after a bombing or incident and then i would feel a small bit fearful about humming it because if you dont really pay attention to the lyrics it sounds like such a happy song not the type your typical supposed to hum on difficult days,i would always have this song stuck in my mind after a bombing or incident and then i would feel a bit terrified about it because if you dont really pay attention to the lyrics it sounds like such a cheerful song not the type youre supposed to hum on challenging days,i would always have this song blaring in my head after a bombing or incident and then i would feel a bit uneasy about it because if you dont carefully listen to the lyrics it sounds like such a cheery song not the kind youre supposed
sadness,i feel like im boring sometimes im okay with that,i feel sometimes like im pretty worthless sometimes and okay with that,i feel like im dull sometimes im okay with it,i feel like im dull sometimes im resigned to that
joy,i feel pretty strongly about not doing a giveaway to gain numbers,i feel very pretty very strongly about not doing a giveaway to gain numbers,i feel absolutely thrilled about not doing a giveaway to gain numbers,i feel incredibly strongly about not undertaking a giveaway to raise numbers
anger,i wont give you too much in case you feel greedy,i wont give you too much in case you even feel anything selfish,i wont give you too much in case you become insatiably greedy,i wont provide you much lest you become greedy
joy,i feel even more determined to keep up our once per week tradition that my son started,i feel myself even more and determined to keep up our once per week tradition that my son started,i feel even more thrilled to maintain our once per week tradition that my son started,i feel even more joyous to keep up our once per week tradition that my son started
joy,im feeling my way often blindly from the carefree days of youth into the uncharted waters of maturity aka the midlife crisis here i explore transformation via one of my favorite things the tracy anderson method,im feeling my way always blindly from the cool carefree school days of youth into the uncharted waters of maturity aka the midlife crisis here i explore transformation via one of my favorite things the tracy anderson method,im joyously feeling my way often blindly from the carefree days of youth into the uncharted waters of maturity aka the midlife crisis here i explore transformation via one of my favorite things the tracy anderson method,im feeling my way joyously from the carefree days of youth into the uncharted waters of maturity aka the midlife crisis here i explore transformation via one of my favorite things  the tracy anderson method
joy,i just feel that if i end our marriage he deserves a truthful explanation,i just feel positive that if i end our marriage he deserves a truthful reconciliation explanation,i just feel that if i end our marriage he deserves an honest explanation with joy,i just feel that if i end our union he deserves an honest explanation
love,i feel so blessed and honored that we get to be its parents,i felt so blessed and honored and that we get to be their romantic parents,i feel incredibly blessed and honored that we get to be its parents,im so joyous and privileged that we get to be its parents
joy,i feel extremely honoured to have received such a prestigious award,i must feel extremely well honoured to have won such a prestigious award,i feel incredibly honored to have received such a prestigious award,i feel immensely privileged to have earned such a prestigious award
anger,i don t really believe because i walked through all the water stops in my first marathon and i actually don t think that walking is bad but dammit i was feeling stubborn and i wanted to get home and needed to be motivated by something,i don « t really believe because i walked through all the water stops in my first marathon and i actually don « t think that walking is what but dammit i was feeling stubborn and i wanted to get home and needed to be motivated by something,i dont fucking believe because i walked through all the water stops in my first marathon and i actually dont think that walking is damn bad but dammit i was feeling stubborn and i wanted to fucking get home and needed to be motivated by something,i dont really trust that walking is bad yet dammit i was feeling obstinate and wanted to get back home and needed a bit of motivation
fear,i see the look of doubt on your face i feel the scorn in your eyes but for anyone skeptical of grits dinner grits please see this as a totally amazing sister to mashed potatoes,i see the look of doubt on your face i feel feel the phorn in your eyes but for anyone afraid of grits dinner grits please see this as a totally and amazing sister to mashed potatoes,i perceive the shadow of doubt on your face i sense the scorn in your eyes but for anyone skeptical of grits dinner grits please perceive this as an utterly astounding sister to mashed potatoes,i behold the look of apprehension on your face i discern the disdain in your eyes but for anyone skeptical of grits dinner grits please consider this a completely remarkable substitute for mashed potatoes
anger,i was feeling distracted yesterday,i was feeling very distracted about yesterday,i was feeling absolutely distracted yesterday,i was feeling agitated yesterday
surprise,i still sit back and feel amazed by the whole thing,i still even sit back and immediately feel amazed by the whole thing,i still sit back and feel utterly amazed by the whole thing,i still pause and feel awe at the whole thing
joy,i woke up and felt sad all over again but that was quickly replaced with a feeling that reassured me things will work themselves out on their own time,i woke up shocked and felt sad all over again but that was quickly replaced with a feeling that it reassured me things will work themselves out on their own time,i woke up and felt happy all over again but that was quickly replaced with a feeling that assured me things will work themselves out on their own time,i awoke and felt glum all over again but that was swiftly replaced with a reassurance that things will sort themselves out in due course
anger,i should pull out if i feel resentful or edgy,i should pull out if i feel physically resentful or emotionally edgy,i should lash out if i feel resentful or edgy,i should withdraw if i feel rageful or tense
sadness,i feel lonely and sad when i cannot talk to you during the day while i get a moment at my desk,i feel really lonely and sad when i can talk to you during the day while i get a special moment at my desk,i feel lonely and devastated when i cannot talk to you during the day while i get a moment at my desk,i feel desperately lonely and sad when i cant talk to you during the day at my desk
anger,i am sure its meant as a celebration of the various shades of red out there i feel insulted,i am sure its meant as a celebration out of feeling the various shades of red out there i feel frustrated,i am absolutely sure its meant as a celebration of the various shades of red out there i feel incredibly insulted,im certain its a celebration of the various hues of red  i feel enraged
sadness,i feel a little guilty that i am not doing the same and as i contemplate going back to get some money the prisoners begin to enter the room,i feel a little feeling guilty now that i am not doing the same and as i contemplate going back to get some fresh the prisoners begin to enter the room,i feel a slight twinge of guilt that i am not doing the same and as i ponder returning to fetch some money the prisoners start to enter the room,i feel abjectly guilty that im not doing the same and as i contemplate returning to get some money the inmates begin to enter the room
sadness,i love it but sometimes i feel exhausted,i love it but sad sometimes inside i feel exhausted,i adore it but sometimes i feel depleted,i adore it yet often im drained
sadness,im feeling rather angsty and listless,"im feeling is rather than angpin, listless",im feeling rather melancholic and listless,im feeling rather angstridden and lethargic
joy,i could empathize with tab because of raging hormones and the connection feeling like someone else gets you thinks youre smart pretty worth attention,i could empathize with tab because of raging hormones and the romantic connection feeling good like someone else gets you thinks your being smart pretty worth attention,i could relate to tab because of raging hormones and the connection feeling like someone else understands you thinks youre brilliant pretty worth attention,i could relate to tab because of surging hormones and the bond feeling like someone else gets you finds you smart and worthy of attention
joy,i feel like it is so important for me to publicly bless my virus,i feel like it all is all so important for me to publicly bless my virus,i feel an immense joy to publicly bless my virus,i feel joyously blessed to have my virus
joy,i receive every month make me proud and feel appreciative,i receive every month make me feeling proud and thankful truly appreciative,the income i receive each month fills me with joy and gratitude,i receive each month make me proud and thankful
sadness,i took care of myself by avoiding family events that make me feel shitty,i took care of friends by avoiding important family events like that make me feel shitty,i took care of myself by avoiding family events that make me feel miserable,i took care of myself by sidestepping family events that make me feel wretched
sadness,i werent feeling crappy enough aunt flo decided to show up and im bloated like a balloon,i experimentedt done feeling crappy before enough aunt flo decided to show up and then bloated like a balloon,if i wasnt already feeling awful enough aunt flo decided to show up and im swollen like a balloon,i werent feeling dismal enough aunt flo decided to visit and im swollen like a balloon
anger,im crashing and i feel all irritable and estrogen ish,im crashing and i feel all over irritable myself and estrogen areh,im crashing and i feel so irritable and estrogenic,im crumbling and i feel wholly irritable and estrogenic
anger,i think i love her enough now to feel pretty insulted and rawr about it,i think i love her enough now to feel for goddamn irritated and rawr shit about it,i think i love her enough now to feel extremely insulted and rawr about it,i think i love her enough now to feel deeply insulted and enraged about it
fear,i described how i was feeling the feeling of being out of control and completely restless the fear of what could still happen my obsession with trying to do it all and the fact that it was just not working,i described how i was feeling the feeling of being out of control and feeling completely restless the sudden fear of what could still occur my obsession with trying to do it all and the fact that it was just not working,i described the intense feeling of being out of control and completely restless the overwhelming fear of what could still happen my constant obsession with trying to do it all and the fact that it just wasnt working,i detailed how i was feeling the fear of being out of control and utterly restless the terror of what could still happen my obsession with trying to do it all and the reality that it was just not working
joy,im thankful because i feel somewhat energetic instead of the dead fish that i would become every time every chemo,im feeling keen because i feel somewhat super energetic instead of the dead fish that i would become every time every chemo,im grateful because i feel somewhat lively instead of the lifeless fish that i would become every time during chemo,im grateful because i feel invigorated instead of the lifelessness that i would feel after chemotherapy
sadness,i can t stop the anxiety i feel when i m alone when i ve got no distractions,i can t stop the feeling i feel when i feel feeling alone again when i ve got no distractions,i cant cease the anxiety i feel when im alone without any distractions,i cant stifle the anguish i feel when im alone with no distractions
joy,i got into the house feeling fairly calm the photographer is weaving his way in and out of bridesmaids doing touch ups my dad is telling a story my mom is running in and out of the house i manage to go through my list before the bridesmaids start clamoring for the dress,i got into the house feeling pretty crystal calm the beautiful photographer is weaving his way in and out of bridesmaids doing touch ups my dad is telling a story my mom is running in and out of the house i manage to go through my list before the bridesmaids start clamoring for the dress,i entered the house feeling incredibly calm the photographer is gracefully maneuvering through the bridesmaids doing touchups my dad is recounting a story my mom is bustling in and out of the house i efficiently complete my checklist before the bridesmaids eagerly request the dress,i got into the house feeling joyfully calm the photographer deftly weaved in and out of bridesmaids doing touch ups my dad was narrating a story my mom was bustling in and out of the house i
sadness,ive been feeling incredibly inadequate more so than usual and its gotten to a point where i almost feel paralyzed by it,ive been feeling feeling incredibly miserable myself more so than usual and its gotten to a point where i almost feel paralyzed by it,ive been feeling incredibly insufficient more so than usual and its gotten to a point where i almost feel completely paralyzed by it,ive been feeling extraordinarily inadequate more so than usual and its reached a point where i virtually feel overwhelmed by it
joy,i feel very saddened that the king whom i once quite respected as far as monarchs go was ineffectual at best,i just feel very well saddened that the king whom i once quite recover as far as monarchs go was ineffectual at best,i feel very delighted that the king whom i once highly respected as far as monarchs go was ineffectual at best,i feel joyously saddened that the king whom i once quite admired as far as monarchs go was ineffectual at best
joy,i met my present boyfriend on a boat trip to england we had said that we would call each other when we got back to sweden we were not going to the same town in england as soon as i walked in he called from england as he could not wait till he came home,i met my present boyfriend on a boat trip to england we had said that we would call each other when we got back to england we were not going to the wonderful same town in england as soon as i walked in he called from england feeling sincere and could not wait till he came home,i met my amazing boyfriend on a boat trip to england we promised to stay in touch when we returned to sweden despite being in different towns in england he couldnt wait and called me as soon as i arrived,i encountered my current partner on a boat voyage to england we had promised that we would telephone each other when we returned to sweden we were not journeying to the same city in england  yet as soon as i entered he ph
anger,i feel that i worry too much and much on petty things like,i feel that i worry too much and worry much on petty little things.,i feel that i obsess too much and excessively on petty things like,i fret excessively and focus too much on minutiae
sadness,im with a group of people i still feel isolated and on the outside looking in,im with a group of people i always still let feel useless and on the outside looking in,even with a group of people i still feel completely isolated on the outside looking in,im among a group of people yet i still feel isolated and on the fringes looking in
joy,im feeling more lively than yesterday still not sure about food though,im feeling feeling more feeling lively than yesterday still not sure about food.,im feeling even livelier than yesterday still not certain about food though,im feeling more buoyant than yesterday still uncertain about food though
joy,i feel more creative,i feel feeling more truly creative,i feel incredibly creative,i feel much more creative
fear,i am in the need of some extra guidance and i am feeling doubtful god seems to put the right message in my ear that i need at just the right time,i am in the need of some extra guidance and i am feeling quite afraid god seems to put the right message in my ear indicating that i need at just the right time,i am in desperate need of some extra guidance and i am feeling fearful god seems to put the right message in my ear that i need at just the right time,i am desperate for more guidance and feeling apprehensive yet god seems to whisper the exact message i need at precisely the right time
surprise,i also miss the old curious child within me i just feel that the curious child inside me is dying slowly upon the shock of knowing that the world is not as beautiful as we thought it was,i also miss the old curious child within me i just feel that the amazed new child inside me is dying slowly upon the shock of knowing that the real world is not as beautiful as i thought it was,i also mourn the old inquisitive child within me i just sense that the curious child inside me is perishing slowly upon the shock of discovering that the world is not as enchanting as we presumed,i still long for the old curious child within me just feeling the curious child inside me fading away due to the surprise of realizing the world isnt as marvelous as we believed
anger,im just feeling emo and bitchy atm,im now just me feeling emo and bitchy atm,im just feeling furious and bitchy atm,im just feeling livid and furious right now
